Document Date,Document Number,Document Type,Item Number,U Of M,TRX QTY,Unit Cost,Extended Cost,TRX Location,Document Status
01/04/2023,ASM013223,Bill of Materials,A-61012,BOX,3295,12.747,42002.22,1,Posted
01/12/2023,ASM013357,Bill of Materials,AC-B16BK,BAG,400,31.286,12514.4,1,Posted
01/10/2023,ASM013358,Bill of Materials,AC-B16BK,BAG,400,31.286,12514.4,1,Posted
01/05/2023,ASM013360,Bill of Materials,AC-B4BK,BAG,600,8.642,5185.2,1,Posted
01/03/2023,ASM013377,Bill of Materials,A-61012,BOX,840,12.777,10732.68,2,Posted
01/04/2023,ASM013378,Bill of Materials,A-61280,BAG,864,12.609,10894.32,1,Posted
01/20/2023,ASM013384,Bill of Materials,A-61260,BOX,900,10.49,9441,3,Posted
01/20/2023,ASM013386,Bill of Materials,A-61220,BOX,1600,3.645,5832,3,Posted
01/09/2023,ASM013387,Bill of Materials,AC-B4BK,BAG,600,8.094,4856.4,3,Posted
01/13/2023,ASM013388,Bill of Materials,AC-B4BK,BAG,600,8.094,4856.4,3,Posted
01/10/2023,ASM013390,Bill of Materials,AC-B9SLE,BAG,3200,22.685,72592.48,1,Posted
01/10/2023,ASM013392,Bill of Materials,AC-B9SL,BAG,6900,23.61,162909,U,Posted
01/05/2023,ASM013395,Bill of Materials,A-61260,BOX,768,8.99,6904.32,2,Posted
01/09/2023,ASM013396,Bill of Materials,A-61012,BOX,420,12.819,5383.99,2,Posted
01/11/2023,ASM013400,Bill of Materials,A-61280,BAG,2016,12.759,25722.48,U,Posted
01/19/2023,ASM013412,Bill of Materials,AC-B9SL,BAG,5000,23.077,115383.84,U,Posted
01/23/2023,ASM013413,Bill of Materials,A-61012,BOX,672,12.697,8532.39,2,Posted
01/20/2023,ASM013414,Bill of Materials,A-61280,BAG,2304,12.727,29323.35,U,Posted
02/01/2023,ASM013427,Bill of Materials,AC-B8BK,BAG,400,16.902,6760.8,1,Posted
02/07/2023,ASM013428,Bill of Materials,AC-B8BK,BAG,400,16.902,6760.8,1,Posted
01/27/2023,ASM013433,Bill of Materials,A-61012,BOX,1357,12.802,17372.26,2,Posted
01/27/2023,ASM013436,Bill of Materials,A-61280,BAG,576,12.61,7263.57,U,Posted
02/07/2023,ASM013444,Bill of Materials,A-61012,BOX,1440,12.697,18283.68,1,Posted
02/08/2023,ASM013455,Bill of Materials,A-61280,BAG,1152,12.599,14514.24,U,Posted
02/09/2023,ASM013457,Bill of Materials,A-61012,BOX,1560,12.82,19999.18,1,Posted
03/24/2023,ASM013458,Bill of Materials,A-61012,BOX,1080,12.016,12977.28,1,Posted
02/10/2023,ASM013459,Bill of Materials,A-61243,BOX,162,7.652,1239.67,1,Posted
02/10/2023,ASM013459,Bill of Materials,A-61220,BOX,-324,3.659,1185.38,1,Posted
02/16/2023,ASM013460,Bill of Materials,AC-B8BK,BAG,420,16.902,7098.84,1,Posted
02/23/2023,ASM013461,Bill of Materials,AC-B8BK,BAG,420,16.902,7098.84,1,Posted
02/16/2023,ASM013462,Bill of Materials,AC-B4BK,BAG,600,8.639,5183.4,3,Posted
02/13/2023,ASM013463,Bill of Materials,A-61243,BOX,371,6.495,2409.63,2,Posted
02/13/2023,ASM013464,Bill of Materials,A-61220,BOX,73,3.135,228.86,2,Posted
02/16/2023,ASM013474,Bill of Materials,A-61260,BOX,191,8.99,1717.1,2,Posted
03/13/2023,ASM013479,Bill of Materials,AC-B8BK,BAG,420,15.862,6662.04,1,Posted
03/23/2023,ASM013480,Bill of Materials,AC-B8BK,BAG,420,15.881,6670.02,1,Posted
02/22/2023,ASM013484,Bill of Materials,A-61260,BOX,2328,10.477,24391.45,1,Posted
03/22/2023,ASM013486,Bill of Materials,AC-B16BK,BAG,400,28.256,11302.4,1,Posted
03/21/2023,ASM013487,Bill of Materials,AC-B16BK,BAG,400,28.256,11302.4,1,Posted
02/28/2023,ASM013488,Bill of Materials,AC-B4BK,BAG,400,8.642,3456.8,1,Posted
02/28/2023,ASM013489,Bill of Materials,AC-B4BK,BAG,400,8.642,3456.8,1,Posted
02/27/2023,ASM013491,Bill of Materials,A-61260,BOX,477,9.057,4319.99,2,Posted
02/28/2023,ASM013493,Bill of Materials,AC-B4BK,BAG,400,8.642,3456.8,1,Posted
02/28/2023,ASM013494,Bill of Materials,AC-B4BK,BAG,400,8.642,3456.8,1,Posted
04/12/2023,ASM013505,Bill of Materials,AC-B4BK,BAG,1200,8.555,10266,1,Posted
04/17/2023,ASM013506,Bill of Materials,AC-B8BK,BAG,840,16.88,14179.2,1,Posted
04/20/2023,ASM013511,Bill of Materials,AC-B16BK,BAG,1200,27.972,33566.87,1,Posted
03/01/2023,ASM013512,Bill of Materials,A-61260,BOX,2669,10.528,28099.25,1,Posted
03/06/2023,ASM013513,Bill of Materials,AC-B4BK,BAG,400,8.642,3456.8,1,Posted
03/03/2023,ASM013514,Bill of Materials,AC-B4BK,BAG,400,8.642,3456.8,1,Posted
03/03/2023,ASM013515,Bill of Materials,AC-B4BK,BAG,400,8.642,3456.8,1,Posted
03/06/2023,ASM013516,Bill of Materials,AC-B4BK,BAG,400,8.642,3456.8,1,Posted
03/03/2023,ASM013518,Bill of Materials,A-61260,BOX,528,8.99,4746.73,2,Posted
03/08/2023,ASM013528,Bill of Materials,A-61260,BOX,960,8.99,8630.4,2,Posted
03/09/2023,ASM013534,Bill of Materials,A-61220,BOX,200,3.481,696.12,2,Posted
03/08/2023,ASM013535,Bill of Materials,AC-B4BK,BAG,2000,8.729,17458,3,Posted
03/16/2023,ASM013536,Bill of Materials,A-61260,BOX,1377,10.574,14559.87,1,Posted
03/09/2023,ASM013537,Bill of Materials,A-61243,BOX,3456,7.535,26039.69,1,Posted
03/16/2023,ASM013538,Bill of Materials,AC-B4BK,BAG,400,8.088,3235.2,1,Posted
03/10/2023,ASM013540,Bill of Materials,A-61260,BOX,503,9.242,4648.59,2,Posted
03/14/2023,ASM013541,Bill of Materials,AC-B4BK,BAG,400,8.088,3235.2,1,Posted
03/13/2023,ASM013546,Bill of Materials,A-61220,BOX,960,3.72,3571.2,3,Posted
03/13/2023,ASM013548,Bill of Materials,A-61280,BAG,1443,12.61,18195.59,U,Posted
03/20/2023,ASM013553,Bill of Materials,AC-B4BK,BAG,1200,8.894,10673.15,1,Posted
03/15/2023,ASM013554,Bill of Materials,A-61012,BOX,624,12.637,7885.49,2,Posted
03/20/2023,ASM013558,Bill of Materials,A-61012,BOX,696,12.837,8934.55,2,Posted
03/28/2023,ASM013565,Bill of Materials,AC-B8BK,BAG,840,16.881,14180.04,1,Posted
