Week,Cut_Off,Row_Index,Item_ID,Qty,Col4,Note,Requested_By,Date_Shipped,Transfer_Reason,Shipment_Status
9/12/22,9/12/22,1,A-61011,50 CASES,,URGENT! OUT OF STOCK,GC,,,
9/12/22,9/12/22,2,D-60013,20 CASES,,ASAP,GC,,,
9/12/22,9/12/22,3,D-04033,3 PALLETS,,URGENT! NEW PRODUCT,GC,,,
9/12/22,9/12/22,4,D-04033B,1 CASE(1000 each),,URGENT! NEW PRODUCT SAMPLE IN BULK,GC,,,
9/12/22,9/12/22,5,F-04005,2 pallets,,Urgent,HL,,,
9/12/22,9/12/22,6,T-42101,30 cases ,,Urgent,HL,,,
9/12/22,9/12/22,7,F-04130,2 pallets,,Urgent,HL,,,
9/12/22,9/12/22,8,,1 cs,,AG Money Back Guarantee Flyers,Anderson,,,
9/12/22,9/12/22,9,J-55500,10 cs,,,JPC,,,
9/12/22,9/12/22,10,D-03004,40cs,,,SYS,,,
9/12/22,9/12/22,11,C-70121,1 PALLET,,URGENT!  OUT OF STOCK,GC,,,
9/12/22,9/12/22,12,C-70430,1 PALLET,,URGENT!  OUT OF STOCK,GC,,,
9/12/22,9/12/22,13,C-70530,20 CASES,,URGENT!  OUT OF STOCK,GC,,,
9/12/22,9/12/22,14,D-02007,1 PALLET,,,GC,,,
9/12/22,9/12/22,15,PO#5703,1 PALLET,,Urgent Ginseng ,Fui ,,,
9/12/22,9/12/22,16,,1 box,,To Winson,Billy,,,
9/12/22,9/12/22,17,P-GIN-S,10 empty shippers,,,HL,,,
9/12/22,9/12/22,18,,1 cs,,small box of mooncake samples,JD,,,
9/12/22,9/12/22,19,D-04011,Fill up the space,,,,,,
9/12/22,9/12/22,1,,1case,,Ginger Coconut Flyer ,Anderson,,,
9/26/22,9/26/22,1,F-04130,4 pallets,,Urgent,HL,,,
9/26/22,9/26/22,2,C-70052,1 PALLET,,URGENT! ,GC,,,
9/26/22,9/26/22,3,C-70214,5 CASES,,ASAP,GC,,,
9/26/22,9/26/22,4,F-11148A,1 PALLET,,URGENT,GC,,,
9/26/22,9/26/22,5,F-12024,20cs,,URGENT,WYL,,,
9/26/22,9/26/22,6,A-61030, 20 CASES,,ASAP (POPLA-ADA),GC,,,
9/26/22,9/26/22,7,PO#37208,,,Urgent A/C on 68,JD,,,
9/26/22,9/26/22,8,F-04004,1 pallet,,,HL,,,
9/26/22,9/26/22,9,M-70081,20 cases,,,EY,,,
9/26/22,9/26/22,10,C-70330,1 PALLET,,,GC,,,
9/26/22,9/26/22,11,F-11076A,1 PALLET,,,GC,,,
