,,,,Sheet Last updated: SDH 12/24/2013,,,,"
"
,Designation Location,,,OTHER PRODUCTS,ETA,Received FDA release notification ,Arrived at warehouse,
PO#,Port,# of ctns,Container #,Product Description,Date,Date,Date,"Remarks (eg submitted paperwork,FDA action, etc)"
27380,NJ,2227,TCNU6156207,Ginger Candy 124g,12/26/2013,12/23/2013,12/30/2013,EN#2009760-7.  12/6: Send OBL
27582,NJ,1604,UESU2100727,Gullon,12/23/2013,12/23/2013,12/30/2013,EN#2010176-3.  TLX released.
27529,OAK,704,FCIU3757425,"Loc Maria: Plain Crispy Crepes 1.25kg, ET Gal Cara Vanille 120g, ET Gal Choc Orange 120g",12/18/2013,12/16/2013,12/26/2013,EN#2009761-5.  TLX released.
27572,LA,150,HJCU6107302,"AM GSG RT: Alum Foil, Tag to Sun Ten",12/18/2013,N/A,12/20/2013,EN#2010221-7.  TLX released.  
27608,NJ,1250,GLDU7680702,Green Tea 100's/J-Green Tea 100's/Jas-Green Tea100's/OL Tea 100's/Wht Tea 100's,12/15/2013,12/17/2013,12/19/2013,EN#2009415-8.  YD13-T07. 11/25: Send OBL.
Many,OAK,413,MSCU5615072,"Paper Box, Glass Bottle, Injket Machine, Printed Matter, Banner, Plastic Bag, Bak Foong Pills, Garlic POwder",12/14/2013,01/07/2014,12/31/2014,"EN#2009815-9.  TLX released. There are 100ctns of Garlic Powder to Global Marketing, bill OF and all charges to GMA after arrival.  One of printed matter is KEN stuff. Please help to pass it to him.  12/17/13: container is being transferred to Bobac for examination.  12/23: container needs to be examed by FDA, SDH will notify GW once container arrives POPSF.  12/26: transfer to BOBAC on 12/27 or 12/30 By Bentz.  1/6: 1560 boxes EYS Bak Foong Yun belongs to POP SF, 1570 boxes Bak Foong Yun belongs to SANUS. 1/7/14: FDA came inspect and will have response in 10 business days."
27673,LA,1280,CMAU4280809,Ginger Honey Crystals 10's/30's,12/11/2013,12/10/2013,12/19/2013,Add chassis fee.  unloading fee: $191.40  EN#2009892-8.  SH->HK->LA.  Contract #13NSS0908
27166,NJ,1634,SEGU9055600,"Delacre:Prince Collection 6x700g, Tea Time 6x1kg, Roules d or 6x1kg, Delichoc Lait 150g, Delichoc Noir 150g, Biarritz 12x175g, Marquisettes 12x175g",12/11/2013,12/10/2013,12/17/2013,"EN#2010344-7.  TLX released.  total delivery charge: $841.75

"
27378,OAK,765,HDMU6441047,POP Loquat Pastilles 130g,12/10/2013,12/09/2013,12/13/2013,EN#2009661-7.  TLX released.
27685,OAK,1280,TCNU9130525,Ginger Honey Crystals 10's/30's,12/10/2013,12/12/2013,12/18/2013,EN#2009813-4.  BP13NSS0906.  12/10: Mail OBL.  15 cs x1400 for AM sample pack project.  
27609,OAK,926,MRKU4004878,ORG Grn Tea 100's/ORG JAS Tea 100's/ Dragon Well 250g/Pearl Jasmin 150g/Ti Guan Yin 250g/Pu-erh 200g,12/09/2013,12/06/2013,12/17/2013,"EN#2009426.  13TM030.  12/9: Mailed OBL.  12/10: The cont was transferred to BOBAC yesterday 12/9.  Right now BOBAC system shows unloaded, Waiting for customs exam.  12/12: Customs cleared.  LFD: 12/18."
27163,LA,1634,FCIU8926662,"Delacre: Ensemble RED 6x300g, Royal Belgian Collection 4x700g, Prince Collection 6x700g, Tea Time 6x1kg, Roles d or 6x1kg",12/09/2013,12/09/2013,12/11/2013,EN#2007873-0. TLX Released.
27379,OAK,2227,MRKU3481259,Ginger Candy 124g,12/08/2013,12/06/2013,12/13/2013,EN#2008345-8.  11/5: Send OBL
27633,NJ,1280,GVCU5312776,Ginger Honey Crystals 10's/30's,12/05/2013,12/05/2013,12/13/2013,EN#2009190-7.  Unloading fee $138.00.  Contract#13NSS0905.  SH->HK->NJ.  TLX Released.
27446,OAK,304,HDMU2296510,"Facial Mask 10's, Display, Flyer",12/03/2013,12/05/2013,12/06/2013,EN#2009568-4.  12/4: Mailed OBL.  LFD: 12/9
26993,OAK,1134,HLXU1056264,McVities Digestive 400g,12/01/2013,11/27/2013,12/09/2013,EN#2008279-9.  TLX Released. LFD 12/9
27165,NJ,1662,MSKU0543894,"Delacre: Belgian Collection 4x700g, Prince Collection 6x700g, Tea Time 6x1kg, Roules d or 6x1kg, Ensemble Red 6x300g",11/30/2013,11/22/2013,11/26/2013,EN#2007337-6.  TLX Released
27566,OAK,445,WHLU4298297,"American GSG Inst Tea, Ins WD AM GSG Tea 100'/60'/20'",11/29/2013,12/03/2013,12/10/2013,EN#2009999.  Inv#2006012-13.  11/27: Mailed OBL.
27580,NJ,850,MSKU6271089,"Organic Green/White/Jasmine Tea 1.8gx100, Organic White Tea 1.8gx20",11/29/2013,11/27/2013,12/06/2013,EN#2008732-7.  13TM033.  11/27: Mailed OBL.  
27162,LA,1484,TCLU5512651,Delacre,11/28/2013,11/26/2013,12/06/2013,EN#2007294-9.  TLX Released
27581,OAK,482,KKTU7297146,"Panax Ginseng Extractum Oral Liquid 10ccx10/30, Red Ginseng Royal Jelly 10ccX10/30",11/24/2013,11/22/2013,12/03/2013,EN#2008765-7.  2013TAT03.  LFD: 12/2.  11/27: freight not available for pickup from terminal.  11/27: Mailed OBL.  Add $120 demurrage fee.
27158,OAK,1781,NYKU4006222,Delacre,11/23/2013,11/27/2013,12/09/2013,EN#2007015-8.  TLX Released. LFD 12/9
27577,NJ,592,MRKU8681049,Panax GSG Extm,11/20/2013,11/26/2013,12/09/2013,EN#2008207-0. Inv#2013TAT02.  11/12: Send OBL.
27369,LA,515,MEDU4086432,AM GSG Hard Candy 8/4.78 oz,11/20/2013,11/19/2013,11/27/2013,EN#2008895-2.  TLX released.
27448 NS1267,OAK,1,HDMU5522606,"Paper Box, Flag & Flagpole",11/18/2013,N/A,11/22/2013,EN#2008894-5.  TLX released.
27579,LA,1250,CBHU9112148,"Green Tea 20/100's, JPN Grn Tea/Jasmine Tea/Oolong Tea/White TeaX100's, Organic Oolong Tea 20/100's ",11/16/2013,11/14/2013,11/20/2013,Add chassis fee. EN#2008482-9.  YD13-T06.  10/28: Send OBL.
27188,NJ,1991,MORU075589,"Lambertz: Composition Red 1kg, Exquisit 750g Gold/Red, Coco Fleur 125g, Balena 125g, Mandola 125g.",11/16/2013,11/14/2013,11/19/2013,EN#2009100-6
27060,NJ,60,TCNU8563921,Seirogan Toi A,11/15/2013,11/25/2013,11/20/2013,EN#2008277-3. 10/31: Send OBL.  11/13: FDA Hold for Exam.  11/25 FDA released.
27520 27521,NJ,2460,CBHU8184652 FCIU9559978,Ginger Honey Crystal 10's/30's,11/14/2013,11/13/2013,11/20/2013,EN#2008267-4.  Contract#13NSS0903 and 13NSS0904.  SH->HK->NJ.
Many,OAK,46,DFSU6752082,"Corrugated Carton, Plastic Bag, Printed matter, Paper Cup/Box, Plastic Lid",11/11/2013,11/14/2013,11/19/2013,EN#2008597-4.  TLX Released.  There have one parcel in the 600pcs of plastic bag. Please help to pass it to Maria.
27574,OAK,500,EMCU3703067,"Panax GSG Extm, Green Tea Ext, Goji on the go",11/08/2013,12/23/2013,11/18/2013,"EN#2008206-2.  Inv#2013TAT01.  11/12: Mailed OBL. 11/14: FDA Docs Review.  11/20: FDA detained Panax GSG Extm, Green Tea Ext.  Will proceed lab test with Anresco.  11/26: Samples picked up by Anresco.  12/6: Kenneth will request extension from FDA.  Lab reports expect to be complete in 12/9.  12/12: Lab reports received and sent to FDA.  12/19: FDA reviewer required additional information to be addressed by Anresco.  12/20: Anresco replied FDA on requested info.  12/23: FDA released!"
27438,OAK,26,TCNU7194310,"Macadamia Nougat: Original, Cranberry, Green Tea",11/05/2013,11/05/2013,11/13/2013,EN#2008435-7.  TLX released.
27544,NJ,1250,MSCU9285410,"Green Tea 20's/100's, Organic Green Tea 100's, Organic Oolong Tea 20's/100's",11/04/2013,11/04/2013,11/11/2013,EN#2007523-1.  YD13-T05.  10/11: Send OBL. LFD 11/13
27285,NJ,1453,SEGU1373081,"Pally: Rich Tea, Digestive",11/03/2013,11/08/2013,11/12/2013,EN#2008269-0.  TLX released. 
27471,OAK,1044,CBHU6225388,Ginger Honey Crystal 10's/30's,10/31/2013,10/29/2013,11/06/2013,EN#2007872-2.  SH->HK->OAK.  Contract #13BE12010/13NSS0902.  TLX released. 
27353,OAK,740,APZU3105200,Gavottes Biscuits,10/30/2013,10/29/2013,11/04/2013,EN#2007728-6.  
NS1234,OAK,33,HDMU5542393,"Envelope, Calendars",10/28/2013,N/A,11/14/2013,EN#2007955-5.  TLX Released.  11/5/13: hold by Customs。  11/7: x-ray exam.  11/11: Customs released. 
27292,NJ,1000,APZU4712743,GSG Hard Candy 1 lb,10/28/2013,11/07/2013,11/08/2013,add chassis fee and a Global Terminal surcharge. EN#2007366-5. TLX released. 
26992,NJ,1134,OOLU1761629,McVities Digestive 400g,10/28/2013,10/24/2013,11/04/2013,EN#2008280-7. 
27296,OAK,515,MSCU4650150,AM GSG Hard Candy 8/4.78 oz,10/24/2013,10/21/2013,10/31/2013,EN#2007521-5.  TLX released. 
Many,OAK,39,FCIU8930852,"Paper box, sticker, calendars",10/21/2013,N/A,10/30/2013,EN#2007250-1.  There have 2 boxes of Calenders for Gospel Operation. Please help to pass its to Maisie when arrival. TLX released.
27059,OAK,113,HJCU4454621,Seirogan 100/400,10/14/2013,10/17/2013,10/22/2013,EN#2007370-7.  10/10: Send OBL.  10/17: under a Customs document review.  10/21: customs released.
27059,OAK,113,HJCU4454621,Seirogan 100/400,10/14/2013,10/17/2010,10/22/2013,EN#2007370-7.
27157,OAK,1712,NYKU7105168,"Delacre: Ensemble 6x300g, Ensemble Red 6x300g POPV13, Royal Belgian Collection 4x700g, Prince Collection 6x700g, Tea Time 6x1kg, Roules d or 6x1kg, Marquisettes 12x175g",10/13/2013,10/10/2013,10/17/2013,EN#2004024-3. TLX Released. LFD:10/17/13
27161,LA,1546,NYKU7125694,"Delacre: Ensemble 6x300g, Ensemble RED 6x300g POP V13, Grand Gala 6x500g, Royal Belgian Collection 4x700g, Tea Time 6x1kg, Roules d or 6x1kg, Prince Collection 6x700g",10/13/2013,10/11/2013,10/15/2013,EN#2004025-0. TLX Released
27164,NJ,1614,CGMU9317046,"Delacre: Ensemble 6x300g, Ensemble Red 6x300g, Grand Gala 6x500g, Royal Belgian Collection 4x700g, Prince Collection 6x700g, Tea Time 6x1kg, Roules d or 6x1kg",10/12/2013,10/11/2013,10/16/2013,EN#2006882-2.  TLX Released
27432,OAK,555,KKTU7026381,"Coldaid, Fluaid",10/11/2013,10/09/2013,10/18/2013, Add 5 days chassis fee charge due to port trucker strike.  EN#2007016-6.  Inv#2006008. Mailed OBL 10/10. LFD 10/18/13
27219,LA,2227,TCLU5889368,Ginger Candy 124g,10/08/2013,10/11/2013,10/15/2013,EN#2006262-7. 9/24: Send OBL
27469,LA,1280,TCNU6916130,"Ginger Honey Crystal 10's/30's, Dark Brown Sugar Ginger Honey Crystals",10/08/2013,10/11/2013,10/14/2013,add chassis fee. EN#: 2007194-1.  SH->HK->LA. Contract #:13BE12009/13NSS0901/22092013LA.  TLX released. 
27331,OAK,9,YMLU5355579,Korean Red Ginseng Powder (5kgx36bags),09/28/2013,09/30/2013,10/08/2013,EN#2006798-0.  9/19: Send OBL
27382,OAK,450,TRIU8957352,Cheezheng Plaster,09/28/2013,10/03/2013,10/03/2013,EN#2006545-5.  TLX Released.
