Document Number,Document Date,Document Type,Item Number,Item Description,U Of M,TRX QTY,Unit Cost,Extended Cost,TRX Location,Transfer To Location,Document Status
5769,02/28/2023,Transfer,D-04046,POP Ginger Coconut Milk Ins 35gx12##24,BAG,28,4.685,131.18,1,1,Posted
5789,03/31/2023,Transfer,D-02060,PG D-Fense1 Herbal ExtractTea 10's,BOX,24,2.462,59.09,1,1,Posted
5796,01/02/2023,Transfer,P-SFS,Sunny Fruit Shipper,EACH,10,0,0,2,1,Posted
5805,01/16/2023,Transfer,D-15100N,POP Oolong Tea 1.8gx100 (New)##23,CASE,10,49.86,498.6,3,2,Posted
5805,01/16/2023,Transfer,D-18120N,POP White Tea 1.8gx20 (New),CASE,8,18.54,148.32,3,2,Posted
5805,01/16/2023,Transfer,D-14220,POP Organic Jasmine Tea 1.8gx20,CASE,4,23.975,95.9,3,2,Posted
5805,01/16/2023,Transfer,D-13200N,POP Organic Green Tea 1.8gx100####FY24,CASE,144,56.07,8074.08,3,2,Posted
5805,01/16/2023,Transfer,J-31046,On Kee Abalone (4's) FreeGift,CASE,40,1.176,47.02,3,2,Posted
5806,01/10/2023,Transfer,F-00509,Loacker Wafer Double Choco 175g,CASE,20,28.386,567.72,2,3,Posted
5806,01/10/2023,Transfer,F-00186,Lambertz Exquisit 750g Red,CASE,80,53.25,4260,2,3,Posted
5806,01/10/2023,Transfer,F-12000,Walkers Choco Chip 4.4 oz #1149,CASE,40,28.176,1127.04,2,3,Posted
5806,01/10/2023,Transfer,F-12001,Walkers Highlanders 4.7oz #145,CASE,25,28.176,704.4,2,3,Posted
5806,01/10/2023,Transfer,F-12002,Walkers Fingers 5.3 oz #115,CASE,45,28.176,1267.92,2,3,Posted
5806,01/10/2023,Transfer,F-12003,Walkers Triangles 5.3oz #131,CASE,42,28.176,1183.39,2,3,Posted
5806,01/10/2023,Transfer,F-12004,Walkers Rounds 5.3oz #140,CASE,55,28.176,1549.68,2,3,Posted
5806,01/10/2023,Transfer,F-12005,Walkers Stem Ginger 5.3oz #542,CASE,25,28.176,704.4,2,3,Posted
5806,01/10/2023,Transfer,F-12006,Walkers Assorted 5.6oz #1231##24,CASE,30,28.176,845.28,2,3,Posted
5806,01/10/2023,Transfer,F-12007,Walkers Scottie Dog 3.9oz#1813,CASE,20,28.176,563.52,2,3,Posted
5806,01/10/2023,Transfer,F-04058,POP Ginger Chews Lychee 4 oz##24,CASE,128,26.36,3374.08,2,3,Posted
5808,01/04/2023,Transfer,AC-B3BK,AM GSG Root (Mixed) 3 oz Bag,BAG,600,6.56,3935.85,1,3,Posted
5808,01/04/2023,Transfer,P-AG-ZB3,POP Am Gsg Zip-lock Bag 3 oz,EACH,400,0.07,28,1,3,Posted
5808,01/04/2023,Transfer,P-AG-ZB4,POP Am Gsg Zip-lock Bag 4 oz,EACH,800,0.061,48.8,1,3,Posted
5808,01/04/2023,Transfer,P-AG-ZB8,POP Am Gsg Zip-lock Bag 8 oz,EACH,500,0.107,53.5,1,3,Posted
5808,01/04/2023,Transfer,P-A4B-T,A-C GSG In Bag - Plastic Tray (4oz),EACH,1600,0.034,54.4,1,3,Posted
5808,01/04/2023,Transfer,P-A8B-T,A-C GSG In Bag - Plastic Tray ( 8 oz),EACH,500,0.053,26.5,1,3,Posted
5810,01/02/2023,Transfer,F-50141,Gavottes Crepes 186g(#017097)####FY23,CASE,32,54.376,1740.04,1,2,Posted
5810,01/02/2023,Transfer,F-50142,Gavottes Dark.Cho.Crepes 180g(#017094)####FY23,CASE,32,55.048,1761.53,1,2,Posted
5810,01/02/2023,Transfer,D-60012,POP Pi Lo Chun Green Tea 300g,CASE,42,114.372,4803.62,1,2,Posted
5810,01/02/2023,Transfer,D-60017,POP Pu-Erh Black Tea 200g,CASE,42,97.908,4112.14,1,2,Posted
5810,01/02/2023,Transfer,D-60021,POP Organic Mao Feng Tea 120g,CASE,5,73.728,368.64,1,2,Posted
5810,01/02/2023,Transfer,M-41061,YNBY Toothpaste Mint 100g+30g Free##25,CASE,665,24.636,16382.94,1,2,Posted
5810,01/02/2023,Transfer,M-41062,YNBY Toothpaste Wht 100g+30g Free##25,CASE,399,29.544,11788.06,1,2,Posted
5810,01/02/2023,Transfer,M-41066,YNBY Toothpaste Probio 100g+30g Free,CASE,399,32.064,12793.53,1,2,Posted
5810,01/02/2023,Transfer,J-31046,On Kee Abalone (4's) FreeGift,CASE,29,1.176,34.1,1,2,Posted
5812,01/10/2023,Transfer,D-02003,Il Ju Tu Chung Tea 3g X 30####FY24,CASE,5,214,1070,3,1,Posted
5812,01/10/2023,Transfer,D-02004,Il Ju Young Ji Tea 3g X 30####FY24,CASE,10,214,2140,3,1,Posted
5812,01/10/2023,Transfer,K-80027,POP K. GSG Tea 2gx10x10 R/G,CASE,72,138.51,9972.72,3,1,Posted
5812,01/10/2023,Transfer,D-14100N,POP Jasmine Tea 1.8gx100##24,CASE,24,60.42,1450.08,3,1,Posted
5812,01/10/2023,Transfer,F-50144,Gavottes Fan Wafer 1500g####FY23,CASE,30,62.132,1863.96,3,1,Posted
5812,01/10/2023,Transfer,D-15100N,POP Oolong Tea 1.8gx100 (New)##23,CASE,8,49.86,398.88,3,1,Posted
5812,01/10/2023,Transfer,D-16100N,POP Ti Kuan Yin Tea 1.8gx100##23,CASE,24,53.4,1281.6,3,1,Posted
5812,01/10/2023,Transfer,T-42101,Tiger Balm Neck & Shoulder Rub 50g,CASE,360,63.12,22723.2,3,1,Posted
5812,01/10/2023,Transfer,F-04057,POP Ginger Chews Mango 4 oz##24,CASE,128,24.64,3153.92,3,1,Posted
5812,01/10/2023,Transfer,F-76000,Royal Dansk Danish B Cookies 12 oz,CASE,180,40.428,7277.04,3,1,Posted
5812,01/10/2023,Transfer,F-12402,Ferrero Rocher 24 Pcs Diamond,CASE,450,45.168,20325.6,3,1,Posted
5812,01/10/2023,Transfer,P-OKBL,On Kee Gift Bag (L),EACH,1000,0.04,39.61,3,1,Posted
5812,01/10/2023,Transfer,P-OKBS,On Kee Gift Bag (S),EACH,1000,0.02,19.94,3,1,Posted
5812,01/10/2023,Transfer,F-90001,RICHY Majestic Assorted 398g,CASE,30,51.73,1551.9,3,1,Posted
5813,01/16/2023,Transfer,J-72802,Sunny Fruit Organic Dried Apricots 8.8oz##25,CASE,40,38.88,1555.2,2,1,Posted
5813,01/16/2023,Transfer,J-72803,Sunny Fruit Organic Pitted Dates 8.8oz##25,CASE,35,38.88,1360.8,2,1,Posted
5813,01/16/2023,Transfer,J-72804,Sunny Fruit Organic Tart Cherries 3.5oz##25,CASE,35,38.88,1360.8,2,1,Posted
5813,01/16/2023,Transfer,F-04006,POP Ginger Chews Lychee 1 lb Bulk,CASE,140,27.456,3843.84,2,1,Posted
5813,01/16/2023,Transfer,F-87101,Zess Cream Cracker - Original 6x460g,CASE,60,17.37,1042.2,2,1,Posted
5813,01/16/2023,Transfer,F-87110,Zess Cream Cracker - Original 24x184g,CASE,60,21.816,1308.96,2,1,Posted
5813,01/16/2023,Transfer,D-17100N,POP Pu-Erh Tea 1.8gx100 (New)##23,CASE,60,56.76,3405.6,2,1,Posted
5813,01/16/2023,Transfer,D-14100N,POP Jasmine Tea 1.8gx100##24,CASE,60,59.67,3580.2,2,1,Posted
5813,01/16/2023,Transfer,D-13300N,POP Green Tea 2gx100 (Japanese S) New##24,CASE,60,58.68,3520.8,2,1,Posted
5813,01/16/2023,Transfer,F-00509,Loacker Wafer Double Choco 175g,CASE,20,28.386,567.72,2,1,Posted
5813,01/16/2023,Transfer,F-00186,Lambertz Exquisit 750g Red,CASE,37,53.25,1970.25,2,1,Posted
5813,01/16/2023,Transfer,F-12000,Walkers Choco Chip 4.4 oz #1149,CASE,35,28.176,986.16,2,1,Posted
5813,01/16/2023,Transfer,F-12001,Walkers Highlanders 4.7oz #145,CASE,20,28.176,563.52,2,1,Posted
5813,01/16/2023,Transfer,F-12002,Walkers Fingers 5.3 oz #115,CASE,45,28.176,1267.92,2,1,Posted
5813,01/16/2023,Transfer,F-12003,Walkers Triangles 5.3oz #131,CASE,30,28.183,845.48,2,1,Posted
5813,01/16/2023,Transfer,F-12004,Walkers Rounds 5.3oz #140,CASE,20,28.176,563.52,2,1,Posted
5813,01/16/2023,Transfer,F-12005,Walkers Stem Ginger 5.3oz #542,CASE,16,28.176,450.82,2,1,Posted
5813,01/16/2023,Transfer,F-12006,Walkers Assorted 5.6oz #1231##24,CASE,30,28.176,845.28,2,1,Posted
5813,01/16/2023,Transfer,F-12007,Walkers Scottie Dog 3.9oz#1813,CASE,20,28.176,563.52,2,1,Posted
5818,01/17/2023,Transfer,AC-B4BK,AM GSG Root (Mixed) 4 oz Bag,BAG,480,8.642,4148.16,1,3,Posted
