Wk of 9/12/22     Cut off: 9/12/22  @3pm,,,,,,,,
Transfer# 5701,,SF - LA,,NOTE (Urgent?),Requested by,,,
1,A-61011,50 CASES,,URGENT! OUT OF STOCK,GC,,,
2,D-60013,20 CASES,,ASAP,GC,,,
3,D-04033,3 PALLETS,,URGENT! NEW PRODUCT,GC,,,
4,D-04033B,1 CASE(1000 each),,URGENT! NEW PRODUCT SAMPLE IN BULK,GC,,,
5,F-04005,2 pallets,,Urgent,HL,,,
6,T-42101,30 cases ,,Urgent,HL,,,
7,F-04130,2 pallets,,Urgent,HL,,,
8,,1 cs,,AG Money Back Guarantee Flyers,Anderson,,,
9,J-55500,10 cs,,,JPC,,,
10,D-03004,40cs,,,SYS,,,
11,C-70121,1 PALLET,,URGENT!  OUT OF STOCK,GC,,,
12,C-70430,1 PALLET,,URGENT!  OUT OF STOCK,GC,,,
13,C-70530,20 CASES,,URGENT!  OUT OF STOCK,GC,,,
14,D-02007,1 PALLET,,,GC,,,
15,PO#5703,1 PALLET,,Urgent Ginseng ,Fui ,,,
16,,1 box,,To Winson,Billy,,,
17,P-GIN-S,10 empty shippers,,,HL,,,
18,,1 cs,,small box of mooncake samples,JD,,,
19,D-04011,Fill up the space,,,,,,
1,,1case,,Ginger Coconut Flyer ,Anderson,,,
,,Total:,,"Closed on 9/12; sent to WH on 9/12 for picking, Pick up on 9/21; Arrived on 9/22",,,,
,,,,,,,,
Wk of 9/26/22     Cut off: 9/26/22  @3pm,,,,,,,,
Transfer# 5712,,SF - LA,,NOTE (Urgent?),Requested by,,,
1,F-04130,4 pallets,,Urgent,HL,,,
2,C-70052,1 PALLET,,URGENT! ,GC,,,
3,C-70214,5 CASES,,ASAP,GC,,,
4,F-11148A,1 PALLET,,URGENT,GC,,,
5,F-12024,20cs,,URGENT,WYL,,,
6,A-61030, 20 CASES,,ASAP (POPLA-ADA),GC,,,
7,PO#37208,,,Urgent A/C on 68,JD,,,
8,F-04004,1 pallet,,,HL,,,
9,M-70081,20 cases,,,EY,,,
10,C-70330,1 PALLET,,,GC,,,
11,F-11076A,1 PALLET,,,GC,,,
12,,1.5 pallets,,Returned Kee Wah Moon Cakes,EY,,,
13,D-04011,3 pallets,,,EY,,,
14,f-04001,3 pallets,,,EY,,,
15,F-12020,20 cases,,,Whitney,,,
16,F-04163,3 cases,,Ginger H Crystal Shipper,HL,,,
17,M-57005,50 cases,,,EY,,,
,,Total,,Closed on 9/26; sent to WH 9/27; Arrived 9/29,,,,
,,,,,,,,
Wk of 10/3/22     Cut off: 10/3/22  @3pm,,,,,,,,
Transfer# 5720,,SF - LA,,NOTE (Urgent?),Requested by,,,
1,F-04001,2 PLTs,,,JPC,,,
2,Transfer #5718,2 pallets,,pkg materials,SYS,,,
3,A-61030 ,50 CASES,,ADA --> POPLA,GC,,,
