Item Number,Description,Available,On Hand
AC-B16BK ,AM GSG Root (Mixed) 1 lb Bag,4507,4697
AC-B3SLJ,AM GSG Slices 3 oz Bag-Jumbo,966,1906
AC-B4BK,AM GSG Root (Mixed) 4 oz Bag,8137,9550
AC-B6SLJ ,AM GSG Slices 6 oz Bag-Jumbo,1216,1607
AC-B8BK,AM GSG Root (Mixed) 8 oz Bag,6644,7321
AC-B9SL,POP AM GSG Root Slices 9 oz,0,0
AC-B9SLE,POP AM GSG Root Slices 9 oz,0,0
A-61012,Wild AM GSG Instant Tea 3gx10x8,3773,4228
A-61117,AM GSG Candy 1 lb / Bag,1668,1878
A-61150,AM GSG Candy 6 oz Bag,57994,61244
A-61220,AM GSG RT Tea 20 Bags,4992,4999
A-61243,AM GSG RT Tea 40 Bags,5855,6415
A-61260N,AM GSG RT Tea 60 Bags,4245,5331
A-61280,AM GSG RT Tea 80 Bags,0,0
F-20141,Ferrero Coll. 24 pcs (w/Hazelnut)#20148,800,860
F-12122,Ferrero Rocher 12 Pcs,612,1716
F-12402,Ferrero Rocher 24 Pcs Diamond,1502,1730
F-12418,Ferrero Rocher 24 pcs Diamond Display(48),8,13
F-12998,Ferrero Rocher 48's Flat Gift Box,0,0
F-50140,Gavottes Crepes 1250g #011120,281,329
F-50139,Gavottes Crepes 500g,3,21
F-76010,Kjeldsens 1 lb Danish Cookie(#98838),8388,8484
F-00491,Loacker Wafer Hazelnut 250g(#10491),14314,14980
F-97000,MX Eggrolls (32pcs),1152,1440
F-00372,Loacker GP Bisc Noisette Choc 3.53oz(#10392),1164,1248
F-00378,Loacker GP Dark Hazelnut 3.53oz(#10338),192,276
F-00375,Loacker GP Bisc Cappuc Choc 3.53oz(#10398),924,984
F-00373,Loacker GP White Coconut 3.53oz,576,636
F-00376,Loacker GP Bisc Coconut Choc 3.53oz(#10396),0,0
F-00377,Loacker GP Bisc Orange Choc 3.53oz(#10397),0,0
F-04076,POP Ginger Chews Assorted 8 oz,50657,97462
F-04117,POP Ginger Chews Blood Orange 4 oz (12ct/cs),24393,26629
F-04075,POP Ginger Chews Blood Orange 8 oz,34586,47181
F-04221,POP Ginger Chews Lemon 2 oz(24ct/cs),0,1002
F-04112,POP Ginger Chews Lemon 4 oz (12ct/cs),54246,62442
F-04071,POP Ginger Chews Lemon 8 oz,72353,95276
F-04074,POP Ginger Chews Lychee 8 oz,24294,40924
F-04114,POP Ginger Chews Mango 4 oz (12ct/cs),55014,58643
F-04073,POP Ginger Chews Mango 8 oz,132706,150139
F-04001,POP Ginger Chews Original 1 lb Bulk,4943,5324
F-04211,POP Ginger Chews Original 2 oz,2038,30910
F-04220,POP Ginger Chews Original 2 oz(24ct/cs),0,839
F-04111,POP Ginger Chews Original 4 oz (12ct/cs),164895,177924
F-04070,POP Ginger Chews Original 8 oz,98959,145814
F-04118,POP Ginger Chews Pineapple Coconut 4 oz (12ct/cs),7951,8399
F-04131,POP Ginger Chews Plus+ Lemon 3 oz,5870,12926
F-04130,POP Ginger Chews Plus+ Original 3 oz,79511,88265
D-04037,POP Ginger H Cytl.Lemon 10ct(6x6),16703,31093
D-04061,POP Ginger Honey Cytl Original 10ct(6x6),34934,44626
D-04043,POP In Ginger H Cytl w/Lemon 18gx30,853,2844
D-04032,POP In Ginger H Cytl w/Turmeric 10ct(6x6),13621,15184
D-04033,POP In Ginger H Cytl w/Turmeric 18gx25,1404,1674
D-04011,POP In Ginger Honey Cytl 18gx30,1927,4221
J-63006,Mazola Corn Oil 128 oz (1 gal),3594,6888
J-63004,Mazola Corn Oil 40 oz,5424,5820
J-72402,Totole Chicken Bouillon 2.2 lbs,6094,7032
T-47010,Kwan Loong Oil 2 fl oz,40794,43446
T-22010,"Tiger Balm 18g Red, Ext/St(MM)",160190,177294
T-31510,"Tiger Balm 18g, Ultra/St",318941,345054
T-31510R,"Tiger Balm 18g, Ultra/St - RFID",64788,67812
T-31541,"Tiger Balm 50g, Ultra/St",41701,50374
T-32300,Tiger Balm Patch - Large,70258,70702
T-32206,Tiger Balm Patch Warm (MM),252287,264417
T-32224,Tiger Balm Single Patch (2x12),3084,3084
T-32202,Tiger Balm Single Patch 12ct/disp,5232,27768
T-31520,Tiger Balm Ultra 10g,2473,33723
D-03052,POP HT Blood Pressure 1.8gx18,670,905
D-03053,POP HT Blood Sugar 1.8gx18,3790,4057
D-03054,POP HT Cholesterol 1.8gx18,22847,23018
D-13206,POP OG Green Tea 1.8gx100 (6ct/cs),2949,3411
D-14206,POP OG Jasmine Tea 1.8gx100 (6ct/cs),4512,4773
D-15206,POP OG Oolong Tea 1.8gx100 (6ct/cs),1028,1500
D-18206,POP OG White Tea 1.8gx100 (6ct/cs),5374,5481
