Item Number,Description,Case Pack,unit dimension (L*W*H) (in),inner case dimension (L*W*H) (in),master case dimension (L*W*H) (in),Case/ Pallet,UPC#,Mstr Ctn UPC#,Country of Origin,Shelf Life (Months),Maufactuer/ CoPacker,Lead Time,MOQ,Allergens
A-61220,AM GSG RT Tea 20 Bags,BOX40,10.91 x 6.61 x 1.46,,27 x 15 1/2 x 11,24,039278612202,10039278612209,USA,60 months,ST/ QT,,,N/A
A-61243,AM GSG RT Tea 40 Bags,BOX20,10.91 x 6.70x 2.92,,27 x 15 1/2 x 11,24,039278612431,10039278612438,USA,60 months,ST/ QT,,,N/A
A-61260N,AM GSG RT Tea 60 Bags (15/cs),BOX15,10.23 x 8.11 x 2.76,,27 x 15 1/2 x 11,24,039278612608,10039278612605,USA,60 months,ST/ QT,,,N/A
A-61280,Am GSG Rt Tea 80 Bags (US Costco),,,,,,039278612806,,USA,60 months,ST,,,N/A
A-61012,Wild AM GSG Instant Tea 3gx10x8,BOX12,10.8 x 2.5 x 6.6,,21 x 12 x 12,,039278610123,,China,4 years,POP ,3 months,,
AC-B16BK,AM GSG Root (Mixed) 1 lb Bag,24,20,,20x18x12,16,039278694116,,USA,5 years,POP ,,,
AC-B4BK,AM GSG Root (Mixed) 4 oz Bag,60,8.62 x 6.77,,20x18x12,16,039278694413,,USA,5 years,POP ,,,
AC-B8BK,AM GSG Root (Mixed) 8 oz Bag,42,10x8,,20x18x12,16,39278694819,,USA,5 years,POP ,,,
AC-B3SLJ,AM GSG Slices 3 oz Bag-Jumbo,12,8.62 x 6.77,,,,39278690644,,USA,5 years,POP ,,,
AC-B6SLJ,AM GSG Slices 6 oz Bag-Jumbo,12,9.84 x 8.07,,,,039278690637,,USA,5 years,POP ,,,
AC-B9SL,POP AM GSG Root Slices 9 oz,60,16,,20x16x12,,039278694000,,USA,5 years,POP ,,,
A-61117,AM GSG Candy 1 lb / Bag,Bag 22,"8.66” x 2.5” x 10.63”
",,"18.50"" × 14.96"" × 10.55""",45,039278611175,10039278611172,China,24 months,GL,3-4 months,,
A-61150,AM GSG Candy 6 oz Bag,Bag 30,"6.25” x 2.5” x 9.33”
",,"18.11"" × 8.66"" × 11.81""",60,039278611502,10039278611509,China,24 months,GL,3-4 months,,
F-12122,Ferrero Rocher 12 Pcs,PACK12,6.46 x1.54x4.96,"8.75x6.88 x 5.13
",13.98x5.43x9.17,96,009800000715,,Poland,6 Months,Ferrero USA,3 weeks,"2,000LB"," tree nuts (hazelnuts), wheat, milk, soy"
F-12402,Ferrero Rocher 24 Pcs Diamond,BOX6,8.5x1.54x8.4,"10.00x8.75x8.50
",10.24x9.06x9.06,90,009800124015,,Poland,6 Months,Ferrero USA,3 weeks,"2,000LB"," tree nuts (hazelnuts), wheat, milk, soy"
F-20141,Ferrero Coll. 24 pcs (w/Hazelnut)#20148,BOX6,8.5x1.54x8.5,"10.00x8.75x8.50
",10.43x9.25x8.86,72,009800200511,,Poland,5 Months,Ferrero USA,3 weeks,"2,000LB"," tree nuts (hazelnuts), wheat, milk, soy"
F-12998,Ferrero Rocher 48's Flat Gift Box,16 Boxes,11.25x1.56x8.45,23.98 x 12.48 x 8.98,47.99x40x58.19,36,009800120499,,Poland,6 Months,Ferrero USA,3 weeks,"2,000LB"," tree nuts (hazelnuts), wheat, milk, soy"
F-12418,Ferrero 24 Pcs Floorstand (48),CASE48,8.5x1.54x8.4,,23.11x15.51x43.78,5,009800124015,10009800124180,Poland,6 Months,Ferrero USA,3 weeks,"2,000LB"," tree nuts (hazelnuts), wheat, milk, soy"
F-00372,Loacker GP Bisc Noisette Choc 3.53oz,BOX12,9.65 x 1.21 x 2.84,,10 x 7.8 x 5.91,126,076580003724,076580141150,Italy,13,Loacker,3-4mths,Ocean container size,"Contains milk, hazelnuts,coconut, wheat and soy. May contain almonds,peanuts, and sesame"
F-00373,Loacker GP White Coconut 3.53oz,BOX12,9.65 x 1.21 x 2.84,,10 x 7.8 x 5.91,126,076580180838,,Italy,13,Loacker,3-4mths,Ocean container size,"Contains milk, hazelnuts,coconut, wheat and soy. May contain almonds,peanuts, and sesame"
F-00375,Loacker GP Bisc Cappuc Choc 3.53oz,BOX12,9.65 x 1.21 x 2.84,,10 x 7.8 x 5.91,126,076580003755,,Italy,13,Loacker,3-4mths,Ocean container size,"Contains milk, hazelnuts,coconut, wheat and soy. May contain almonds,peanuts, and sesame"
F-00376,Loacker GP Bisc Coconut Choc 3.53oz,BOX12,9.65 x 1.21 x 2.84,,10 x 7.8 x 5.91,126,076580003762,,Italy,13,Loacker,3-4mths,Ocean container size,"Contains milk, hazelnuts,coconut, wheat and soy. May contain almonds,peanuts, and sesame"
F-00377,Loacker GP Bisc Orange Choc 3.53oz,BOX12,9.65 x 1.21 x 2.84,,10 x 7.8 x 5.91,126,076580003779,,Italy,13,Loacker,3-4mths,Ocean container size,"Contains milk, hazelnuts,coconut, wheat and soy. May contain almonds,peanuts, and sesame"
