ITEMNMBR,warehouse location,predicted_demand for location (item count),Current inventory for location (item count),Current gap (item count),Item value,Aggregate metric
T-32202,3,1602465.9399338667,3614.83,1598851.1099338667,0.5566442510495523,1.2861805074019965
F-04211,3,927359.1962651792,5120.7,922238.4962651792,0.7336292181767913,0.8910149525251441
F-04211,2,883334.5322608405,21044.68,862289.8522608405,0.7336292181767913,0.8197702075716007
AC-B9SL,U,446989.2092262057,0.0,446989.2092262057,0.766742578422518,0.40272624616830777
F-04130,1,32111.10955356882,18500.59,13610.519553568818,0.8655771843004192,0.11605310799898849
F-04130,E1,86.3888888888889,26.54,59.8488888888889,0.8655771843004192,0.09994908944296055
F-04130,W,0.0,83.75,-83.75,0.8655771843004192,0.09977843226823346
F-04130,L,0.0,348.27,-348.27,0.8655771843004192,0.09946406886188597
F-04131,1,25014.669230425392,3431.22,21583.44923042539,0.8530636122309574,0.0966145524556562
F-04130,U,0.0,3802.51,-3802.51,0.8655771843004192,0.09535894768866116
F-04130,3,9726.672351628882,20740.61,-11013.937648371118,0.8655771843004192,0.08678867337983864
F-04131,2,18664.152695608067,7040.24,11623.912695608067,0.8530636122309574,0.08477834411327556
F-04131,3,6446.156418668495,1826.02,4620.136418668495,0.8530636122309574,0.07645484884745901
F-04130,2,22197.72735398046,44762.74,-22565.01264601954,0.8655771843004192,0.07306103356721583
F-04131,E1,107.42361111111116,8.39,99.03361111111116,0.8530636122309574,0.07108183630008824
F-04131,W,0.0,12.26,-12.26,0.8530636122309574,0.07094957167475324
F-04131,L,0.0,51.0,-51.0,0.8530636122309574,0.07090353191079635
F-04131,U,0.0,556.86,-556.86,0.8530636122309574,0.07030235289697928
AC-B9SLE,1,107533.64375511362,0.0,107533.64375511362,0.7693373449540344,0.0053026529262656386
F-04211,1,178957.97466843505,3257.13,175700.84466843505,0.7336292181767913,0.003807485707746361
A-61250,1,8609.337485354532,0.0,8609.337485354532,0.7961086566020785,-0.05040421302514331
F-04111,1,162659.43442699383,28107.51,134551.92442699382,0.7298676208186885,-0.05378664582002557
A-61250,3,3971.0666949470146,0.0,3971.0666949470146,0.7961086566020785,-0.055916471475295104
A-61250,2,3032.4603368490516,0.0,3032.4603368490516,0.7961086566020785,-0.057031939084364325
A-61250,W,1477.1583333333335,0.0,1477.1583333333335,0.7961086566020785,-0.05888030607258499
A-61250,E1,62.888636363636365,0.0,62.888636363636365,0.7961086566020785,-0.06056106608858869
A-61250,L,0.0,0.0,0.0,0.7961086566020785,-0.060635804807580906
A-61250,U,0.0,0.0,0.0,0.7961086566020785,-0.060635804807580906
T-32202,2,470656.28524357744,18113.24,452543.04524357745,0.5566442510495523,-0.07612596446981101
AC-B9SL,1,34353.71619647821,0.0,34353.71619647821,0.766742578422518,-0.08766200110472389
F-04111,2,194801.26775631524,112720.74,82080.52775631523,0.7298676208186885,-0.11614520847388898
AC-B9SLE,2,0.0,0.0,0.0,0.7693373449540344,-0.12249351578613765
AC-B9SLE,3,0.0,0.0,0.0,0.7693373449540344,-0.12249351578613765
AC-B9SLE,E1,0.0,0.0,0.0,0.7693373449540344,-0.12249351578613765
AC-B9SLE,L,0.0,0.0,0.0,0.7693373449540344,-0.12249351578613765
AC-B9SLE,U,0.0,0.0,0.0,0.7693373449540344,-0.12249351578613765
AC-B9SLE,W,0.0,0.0,0.0,0.7693373449540344,-0.12249351578613765
AC-B9SL,2,0.0,0.0,0.0,0.766742578422518,-0.12848897541372362
AC-B9SL,3,0.0,0.0,0.0,0.766742578422518,-0.12848897541372362
AC-B9SL,E1,0.0,0.0,0.0,0.766742578422518,-0.12848897541372362
AC-B9SL,L,0.0,0.0,0.0,0.766742578422518,-0.12848897541372362
AC-B9SL,W,0.0,0.0,0.0,0.766742578422518,-0.12848897541372362
F-04114,2,94022.1557118199,40618.76,53403.395711819896,0.732061716754973,-0.14515629059295265
F-04114,1,58965.42193501434,10678.72,48286.70193501434,0.732061716754973,-0.15123712109693388
F-04117,2,102027.04459656797,18718.44,83308.60459656797,0.7138632057615277,-0.15166547814613696
F-04112,2,146713.17428630107,42506.55,104206.62428630107,0.6944773732591767,-0.17162249769715454
F-04112,1,112806.64871040285,10093.16,102713.48871040285,0.6944773732591767,-0.17339698426065764
F-04114,3,16410.399745778213,4492.8,11917.599745778214,0.732061716754973,-0.1944592398403363
F-04111,3,42239.35264572443,28529.35,13710.002645724431,0.7298676208186885,-0.19739876649417287
F-04114,E1,6241.480416666666,39.31,6202.170416666666,0.732061716754973,-0.20125162541661534
F-04211,E1,0.0,4.8,-4.8,0.7336292181767913,-0.20500630898616878
F-04211,W,0.0,29.32,-29.32,0.7336292181767913,-0.2050354492807538
F-04211,L,0.0,121.94,-121.94,0.7336292181767913,-0.20514552163330146
F-04118,2,82142.05091534693,5930.79,76211.26091534694,0.694197707481601,-0.2055392119874374
F-04211,U,0.0,1331.42,-1331.42,0.7336292181767913,-0.20658290350502773
AC-B3SLJ,1,19106.70960855339,967.73,18138.97960855339,0.7227150857140725,-0.20866186481126692
F-04114,W,0.0,55.64,-55.64,0.732061716754973,-0.20868859274936735
F-04114,L,0.0,231.39,-231.39,0.732061716754973,-0.20889745925725156
F-04114,U,0.0,2526.38,-2526.38,0.732061716754973,-0.21162489337918267
F-04111,E1,538.5881944444444,30.45,508.1381944444444,0.7298676208186885,-0.21308825341025095
F-04111,W,0.0,168.82,-168.82,0.7298676208186885,-0.21389277058838618
F-04111,L,0.0,702.04,-702.04,0.7298676208186885,-0.21452646503694417
